ID,Genre
1590,Action
1591,Action
1592,Strategy
1593,Action
1594,Action
1594,Adventure
1595,Miscellaneous
1596,Action
1597,Strategy
1598,Strategy
1599,Strategy
1600,Adventure
1601,Role-Playing
1602,Action
1603,Miscellaneous
1604,Sports
1605,Miscellaneous
1606,Simulation
1607,Action
1608,Simulation
1609,Action
1610,Action
1611,Action
1612,Role-Playing
1613,Role-Playing
1614,Role-Playing
1615,Strategy
1616,Action
1617,Action
1618,Action
1619,Action
1620,Action
1620,Adventure
1621,Action
1621,Adventure
1622,Adventure
1623,Strategy
1624,Action
1625,Sports
1626,Action
1627,Adventure
1628,Driving
1629,Action
1630,Miscellaneous
1631,Adventure
1632,Action
1633,Action
1634,Driving
1635,Sports
1636,Action
1636,Adventure
1637,Miscellaneous
1638,Driving
1639,Sports
1640,Action
1640,Adventure
1641,Simulation
1642,Strategy
1643,Strategy
1644,Role-Playing
1645,Action
1646,Strategy
1647,Action
1647,Adventure
1648,Role-Playing
1649,Miscellaneous
1650,Role-Playing
1651,Strategy
1652,Action
1652,Adventure
1653,Strategy
1654,Miscellaneous
1655,Simulation
1656,Miscellaneous
1657,Strategy
1658,Role-Playing
1659,Action
1660,Action
1660,Adventure
1661,Adventure
1662,Action
1663,Strategy
1664,Action
1665,Action
1665,Adventure
1666,Action
1666,Adventure
1667,Adventure
1668,Strategy
1669,Adventure
1670,Action
1670,Adventure
1671,Role-Playing
1672,Strategy
1673,Role-Playing
1674,Action
1675,Adventure
1676,Strategy
1677,Action
1678,Action
1678,Adventure
1679,Action
1680,Action
1681,Action
1682,Action
1683,Adventure
1684,Action
1684,Adventure
1685,Role-Playing
1686,Miscellaneous
1687,Role-Playing
1688,Role-Playing
1689,Adventure
1690,Action
1690,Adventure
1691,Strategy
1692,Strategy
1693,Action
1694,Strategy
1695,Driving
1696,Driving
1697,Other
1697,Strategy
1697,Games
1698,Action
1699,Action
1700,Simulation
1701,Adventure
1702,Action
1703,Adventure
1703,Games
1704,Action
1705,Simulation
1706,Strategy
1707,Strategy
1708,Strategy
1709,Action
1710,Strategy
1711,Driving
1712,Simulation
1713,Strategy
1714,Historic
1715,Action
1716,Strategy
1717,Miscellaneous
1718,Sports
1719,Driving
1720,Strategy
1721,Action
1722,Strategy
1723,Strategy
1724,Puzzle
1725,Sports
1726,Modern
1727,Action
1727,Adventure
1728,Action
1729,Adventure
1730,Action
1730,Adventure
1731,Strategy
1732,Strategy
1733,Role-Playing
1734,Strategy
1735,Role-Playing
1736,Sports
1737,Strategy
1738,Driving
1739,Adventure
1740,Action
1741,Action
1742,Strategy
1743,Action
1744,Simulation
1745,Action
1745,Adventure
1746,Action
1747,Strategy
1748,Action
1748,Adventure
1749,Sports
1750,Adventure
1751,Action
1752,Strategy
1753,Strategy
1754,Miscellaneous
1755,Action
1756,Action
1757,Role-Playing
1758,Action
1758,Adventure
1759,Action
1760,Strategy
1761,Strategy
1762,Strategy
1763,Strategy
1764,Adventure
1765,Action
1766,Action
1766,Adventure
1767,Action
1768,Role-Playing
1769,Adventure
1770,Strategy
1771,Action
1772,Miscellaneous
1773,Strategy
1774,Action
1775,Driving
1776,Action
1776,Adventure
1777,Action
